"pno","pname","pcontent","pexpire","pprice","ppic","pdiv"
11,[베이징 5일]시크릿 특가!베이하이공원/수도박물관/태묘/거용관_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>10세기에 지어진 황실의 정원, 베이하이 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/beyhi.jpg"" style=""height:478px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><br />
<strong>대형 박물관, 수도 박물관&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/sudo.jpg"" style=""height:514px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>건축, 사원, 미술관, 예술 및 역사, 태묘<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/teamyo.jpg"" style=""height:600px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><br />
<strong>만리장성에 설치된 관문이자 요새, 거용관</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/geoyong.jpg"" style=""height:417px; width:800px"" /></strong></h3>
","2020-04-01",192540000,/2020/05/14/8d3ae396-93a1-4c9e-900a-54f159a6d2e6_beyhi.jpg,0
12,[베이징 7일]시크릿 특가!징산공원/국가박물관/스차하이/천단/골동품시장/스차하이_바로 출발!,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>옛 원나라 황궁의 위엄, 징산 공원&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/zingsan.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>베이징의 역사적 장소, 스차하이</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chahai.jpg"" style=""height:602px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>옛 황제들이 신을 향해 제사를 드렸던 곳, 유네스코 문화유산 지정!, 천단 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chundan.jpg"" style=""height:525px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>중국 골동품은 어디? 판자위엔 골동품 시장<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/panzawuen.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>베이징의 역사적 장소, 스차하이</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chahai.jpg"" style=""height:602px; width:800px"" /></strong></h3>
","2020-04-01",314790000,/2020/05/14/cfcda30e-a49b-40a5-845b-a70a91678863_panzawuen.jpg,0
13,[베이징 3일]시크릿 특가!천안문/만리장성_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>중국 최고의 건축물이자, 세계 문화유산인 만리장성</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/manri.jpg"" style=""height:387px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>중국의 상징이자 랜드마크인 중화 민주화 운동의 상징 천안문광장</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chunanmoon.jpg"" style=""height:503px; width:800px"" /></strong></h3>
","2020-04-02",60180000,/2020/05/14/0350d52a-65a5-4457-a9ec-6a2c7cc1587d_chunanmoon.jpg,0
14,[베이징 5일]시크릿 특가798예술구/원명원/고루종루/세계공원/이화원_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3><strong>중국의 신예 예술가들의 혼이 깃들어 있는 베이징의 소호 거리 798예술구</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/789.jpg"" style=""height:599px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><br />
<strong>청나라 시대의 이궁, 원명원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/wonmyung.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>시간을 알리기 위해 사용된 곳, 고루와 종루</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/goru.jpg"" style=""height:444px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>공원 및 사적, 베이징 세계공원</strong></h3>

<h3><br />
<strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/saekyaepark.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>중국에서 가장 보존이 잘되어 있는 정원공원이자 서태후의 여름 별장 이화원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ehwawon.png"" style=""height:540px; width:800px"" /></strong></h3>

<p>&nbsp;</p>

<p>&nbsp;</p>
","2020-04-02",192660000,/2020/05/14/d7d8d2ca-9b59-40a7-9bec-4932f6029164_wonmyung.jpg,0
15,[베이징 7일]시크릿 특가!징산공원/자금성/국가박물관/오페라극장/올림픽공원/인민대회당_바로 출발!,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>옛 원나라 황궁의 위엄, 징산 공원&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/zingsan.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><br />
<strong>유네스코 지정 세계 문화유산으로 지정된 중국의 황실 궁전 자금성</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jaguem.png"" style=""height:532px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>중국 첫 현대 국립 박물관, 국가 박물관</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/national.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>샤를 드골 공항 설계자가 건축한 북경 오페라 하우스</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/opera.jpg"" style=""height:531px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>베이징 올림픽을 느끼고 싶다면, 베이징 올림픽 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/olympic.jpg"" style=""height:490px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>건축, 음악회, 박물관 및 연극, 인민대회당</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/inmin.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<p>&nbsp;</p>
","2020-04-02",315190000,/2020/05/14/87470131-85f8-4a16-9141-607bd7feec73_olympic.jpg,0
16,[베이징 3일]시크릿 특가!이화원/옹화궁_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>중국에서 가장 보존이 잘되어 있는 정원공원이자 서태후의 여름 별장 이화원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ehwawon.png"" style=""height:540px; width:800px"" /></strong></h3>

<h3><strong>사원, 불교, 대왕 판다, 수도원 및 건축, 옹화궁</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/yongwha.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<p>&nbsp;</p>

<p>&nbsp;</p>
","2020-04-03",60050000,/2020/05/14/11507b2a-ff22-4cda-95aa-77cf67cd17a5_yongwha.jpg,0
17,[베이징 5일]시크릿 특가!베이징환러구/징산공원/명십왕릉/수도박물관_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>놀이공원, 롤러코스터, 베이징 환러구</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/hwanreohu.png"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>옛 원나라 황궁의 위엄, 징산 공원&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/zingsan.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>중국 고대 황제들과 영웅들이 잠들어 있는 곳, 명십 왕릉</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/myungship.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>대형 박물관, 수도 박물관&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/sudo.jpg"" style=""height:514px; width:800px"" /></strong></h3>
","2020-04-03",192810000,/2020/05/14/ebe09fbc-13ee-48a8-a05d-81762b721640_hwanreohu.png,0
18,[베이징 7일]시크릿 특가!베이징동물원/만리장성/정양문/일단공원/베이하이/태묘_바로 출발!,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3><strong>매년 6백만명 이상의 관광이 찾는 베이징 동물원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/beijing.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>중국 최고의 건축물이자, 세계 문화유산인 만리장성</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/manri.jpg"" style=""height:387px; width:800px"" /></strong></h3>

<h3><strong>중국의 명승고적, 정양문&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jyungyang.jpg"" style=""height:572px; width:800px"" /></strong></h3>

<h3><strong>베이징 도심 속 산책, 일단 공원<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ildanPark.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>10세기에 지어진 황실의 정원, 베이하이 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/beyhi.jpg"" style=""height:478px; width:800px"" /></strong></h3>

<h3><strong>건축, 사원, 미술관, 예술 및 역사, 태묘<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/teamyo.jpg"" style=""height:600px; width:800px"" /></strong></h3>
","2020-04-03",315260000,/2020/05/14/1723845a-7a0b-4cd5-b32e-c285d094267b_teamyo.jpg,0
19,[베이징 3일]시크릿 특가!베이징식물원/공왕부_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>식물원에 가고 싶다면, 베이징 식물원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/botanical.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>청나라 공칭왕부, 공왕부</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/gongwangbu.jpg"" style=""height:602px; width:800px"" /></strong></h3>
","2020-04-04",59850000,/2020/05/14/cc0b8605-cbab-4b0b-bfb7-e619d4fd0275_botanical.jpg,0
20,[베이징 5일]시크릿 특가!자금성/고루종루/스차하이/태묘_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>유네스코 지정 세계 문화유산으로 지정된 중국의 황실 궁전 자금성</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jaguem.png"" style=""height:532px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><br />
<strong>시간을 알리기 위해 사용된 곳, 고루와 종루</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/goru.jpg"" style=""height:444px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>베이징의 역사적 장소, 스차하이</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chahai.jpg"" style=""height:602px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>건축, 사원, 미술관, 예술 및 역사, 태묘<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/teamyo.jpg"" style=""height:600px; width:800px"" /></strong></h3>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","2020-04-04",192530000,/2020/05/14/dd1a4e14-891b-4fa1-8d63-b59c452f0445_teamyo.jpg,0
21,[베이징 7일]시크릿 특가!798예술구/거용관/세계공원/만리장성/호우하이/천단_바로 출발!,"<h3>&nbsp;</h3>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3><strong>중국의 신예 예술가들의 혼이 깃들어 있는 베이징의 소호 거리 798예술구</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/789.jpg"" style=""height:599px; width:800px"" /></strong></h3>

<h3><strong>만리장성에 설치된 관문이자 요새, 거용관</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/geoyong.jpg"" style=""height:417px; width:800px"" /></strong></h3>

<h3><strong>공원 및 사적, 베이징 세계공원</strong></h3>

<h3><br />
<strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/saekyaepark.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>중국 최고의 건축물이자, 세계 문화유산인 만리장성</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/manri.jpg"" style=""height:387px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>아이스 스케이팅, 공원 및 밤문화, 호우하이</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/houhai.jpg"" style=""height:512px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>옛 황제들이 신을 향해 제사를 드렸던 곳, 유네스코 문화유산 지정!, 천단 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chundan.jpg"" style=""height:525px; width:800px"" /></strong></h3>
","2020-04-04",315460000,/2020/05/14/f6941e61-a3bc-4043-89c4-4e2ddcbd17b6_saekyaepark.jpg,0
22,[베이징 3일]시크릿 특가!원명원/국가박물관_바로 출발,"<h3>&nbsp;</h3>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3><strong>중국 첫 현대 국립 박물관, 국가 박물관</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/national.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>청나라 시대의 이궁, 원명원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/wonmyung.jpg"" style=""height:533px; width:800px"" /></strong></h3>
","2020-04-05",59850000,/2020/05/14/1029ebce-3d22-4b57-a069-4148d4c7267e_national.jpg,0
23,[베이징 5일]시크릿 특가!만리장성/자금성/이화원/천단_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>유네스코 지정 세계 문화유산으로 지정된 중국의 황실 궁전 자금성</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jaguem.png"" style=""height:532px; width:800px"" /></strong></h3>

<h3><strong>중국 최고의 건축물이자, 세계 문화유산인 만리장성</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/manri.jpg"" style=""height:387px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>옛 황제들이 신을 향해 제사를 드렸던 곳, 유네스코 문화유산 지정!, 천단 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chundan.jpg"" style=""height:525px; width:800px"" /></strong></h3>

<h3><strong>중국에서 가장 보존이 잘되어 있는 정원공원이자 서태후의 여름 별장 이화원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ehwawon.png"" style=""height:540px; width:800px"" /></strong></h3>
","2020-04-05",193330000,/2020/05/14/92541f6a-9429-4918-b824-27957a24589c_manri2.jpg,0
24,[베이징 7일]시크릿 특가!천안문광장/명십왕릉/징산공원/베이하이/옹화궁/원명원_바로 출발!,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>중국의 상징이자 랜드마크인 중화 민주화 운동의 상징 천안문광장</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chunanmoon.jpg"" style=""height:503px; width:800px"" /></strong></h3>

<h3><strong>중국 고대 황제들과 영웅들이 잠들어 있는 곳, 명십 왕릉</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/myungship.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>청나라 시대의 이궁, 원명원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/wonmyung.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>10세기에 지어진 황실의 정원, 베이하이 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/beyhi.jpg"" style=""height:478px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>옛 원나라 황궁의 위엄, 징산 공원&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/zingsan.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>사원, 불교, 대왕 판다, 수도원 및 건축, 옹화궁</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/yongwha.jpg"" style=""height:533px; width:800px"" /></strong></h3>
","2020-04-05",314660000,/2020/05/14/b0901556-813c-46eb-bec5-9993d4e6c9f5_beyhi.jpg,0
25,[베이징 3일]시크릿 특가!고루종루/베이징동물원_바로 출발,"<p>&nbsp;</p>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3><strong>시간을 알리기 위해 사용된 곳, 고루와 종루</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/goru.jpg"" style=""height:444px; width:800px"" /></strong></h3>

<h3><strong>매년 6백만명 이상의 관광이 찾는 베이징 동물원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/beijing.jpg"" style=""height:533px; width:800px"" /></strong></h3>
","2020-04-06",60050000,/2020/05/14/190ebce3-056f-42c9-aac5-065b3ac35c81_beijing.jpg,0
26,[베이징 5일]시크릿 특가!정양문/국가박물관/798예술구/거용관_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3><strong>중국의 명승고적, 정양문&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jyungyang.jpg"" style=""height:572px; width:800px"" /></strong></h3>

<h3><strong>중국 첫 현대 국립 박물관, 국가 박물관</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/national.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>중국의 신예 예술가들의 혼이 깃들어 있는 베이징의 소호 거리 798예술구</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/789.jpg"" style=""height:599px; width:800px"" /></strong></h3>

<h3><strong>만리장성에 설치된 관문이자 요새, 거용관</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/geoyong.jpg"" style=""height:417px; width:800px"" /></strong></h3>
","2020-04-06",192530000,/2020/05/14/7fd62f3e-380a-45ef-acc8-39aa6289b35c_789.jpg,0
27,[베이징 7일]시크릿 특가!스차하이/공왕부/세계공원/오페라극장/환러구/태묘_바로 출발!,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>베이징의 역사적 장소, 스차하이</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chahai.jpg"" style=""height:602px; width:800px"" /></strong></h3>

<h3><br />
<strong>청나라 공칭왕부, 공왕부</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/gongwangbu.jpg"" style=""height:602px; width:800px"" /></strong></h3>

<h3><br />
<strong>공원 및 사적, 베이징 세계공원</strong></h3>

<h3><br />
<strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/saekyaepark.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>샤를 드골 공항 설계자가 건축한 북경 오페라 하우스</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/opera.jpg"" style=""height:531px; width:800px"" /></strong></h3>

<h3><strong>놀이공원, 롤러코스터, 베이징 환러구</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/hwanreohu.png"" style=""height:533px; width:800px"" /></strong></h3>

<h3><br />
<strong>건축, 사원, 미술관, 예술 및 역사, 태묘<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/teamyo.jpg"" style=""height:600px; width:800px"" /></strong></h3>
","2020-04-06",315260000,/2020/05/14/151a8a9a-3d59-471e-bd08-6185334b7ed4_teamyo.jpg,0
28,[베이징 3일]시크릿 특가!루거우차오/인민대회당_바로 출발,"<p>&nbsp;</p>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>역사 및 강, 루거우차오<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/lugeouchao.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>건축, 음악회, 박물관 및 연극, 인민대회당</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/inmin.jpg"" style=""height:533px; width:800px"" /></strong></h3>
","2020-04-07",59900000,/2020/05/14/967f28b8-66bd-47eb-b56b-aab10fdc39e1_lugeouchao.jpg,0
29,[베이징 5일]시크릿 특가!수도 박물관/베이징식물원/골동품시장/올림픽공원_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>대형 박물관, 수도 박물관&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/sudo.jpg"" style=""height:514px; width:800px"" /></strong></h3>

<h3><strong>식물원에 가고 싶다면, 베이징 식물원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/botanical.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><br />
<strong>중국 골동품은 어디? 판자위엔 골동품 시장<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/panzawuen.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3><strong>베이징 올림픽을 느끼고 싶다면, 베이징 올림픽 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/olympic.jpg"" style=""height:490px; width:800px"" /></strong></h3>
","2020-04-07",192260000,/2020/05/14/bff1f8c5-20f0-435e-b9c4-0a4d87890559_sudo.jpg,0
